00001.wav	00001-00250-99bbb30c	VER	Nàìjíríà yóò gba ikọ̀ ọmọ ogun tuntun.
00002.wav	00001-00250-99bbb30c	VER	Wọ́n fẹ́ gbógun ti ìdúnkòkò àti ètò ààbò tó ń ṣe sége-sège.
00003.wav	00001-00250-99bbb30c	VER	Ọ̀jọ̀gbọ́n Yẹmí Òṣínbàjò jẹ́ igbákejì ààrẹ.
00004.wav	00001-00250-99bbb30c	VER	Mo lọ sí ìlú Àbújá lọ́jọ́ Ajé láti pàdé ọ̀rẹ́ mi.
00006.wav	00001-00250-99bbb30c	VER	Mò ń gbọ́ orin nígbà tí mò ń lọ sílé ìjọsìn.
00008.wav	00001-00250-99bbb30c	VER	Wọ́n lọ sí ìlà oòrùn láti kojú ikọ̀ ọlọtẹ̀.
00009.wav	00001-00250-99bbb30c	VER	Wọ́n ya owó kan sọ́tọ̀ láti fi ra irinṣẹ́ ogun.
00010.wav	00001-00250-99bbb30c	VER	Wọ́n ṣe àmójútó ètò ààbò lórílẹ̀ èdè yìí.
00012.wav	00001-00250-99bbb30c	VER	Wọ́n ṣàpèjúwe rẹ̀ gẹ́gẹ́ bí èèyàn àlááfíà.
00013.wav	00001-00250-99bbb30c	VER	A ò ní fowó kún ọkọ̀ ojú irin nítorí àwọn mẹ̀kúnnù.
00014.wav	00001-00250-99bbb30c	VER	Ìjọba kò ní dẹ́kun àti ṣèrànwọ́ nípa fífi owó kún ọkọ̀ ojú irin.
00015.wav	00001-00250-99bbb30c	VER	Ó sọ̀rọ̀ yìí lásìkò tó ń bá àwọn akọ̀rọ̀yìn sọrọ̀. 
00016.wav	00001-00250-99bbb30c	VER	Lágbàáyé kò sí ibi tí wọ́n ti ń lo ọkọ̀ ojú irin láti pa owó sápò ìjọba.
00017.wav	00001-00250-99bbb30c	VER	Ilé-iṣẹ́ tó ń mójútó ọkọ̀ ojú irin yóò tún pèsè àwọn ọkọ̀ ojú irin tuntun.
00018.wav	00001-00250-99bbb30c	VER	Olùdarí ò fèsì lórí ìgbà tí ọkọ̀ ojú irin láti Èkó sí Ìbàdàn yóò parí.
00019.wav	00001-00250-99bbb30c	VER	Wọ́n sọ fún wa pé wọn yóò parí isẹ́ náà ní osú kẹrin, ọdún tó kọjá 
00021.wav	00001-00250-99bbb30c	VER	Wọn kò tí ì rí ẹrù wọn gbà ní èbúté láti ọ̀sẹ̀ to kọjá.
00022.wav	00001-00250-99bbb30c	VER	Orílẹ̀-èdè Amẹ́ríkà àti Nàìjíríà yóò tọwọ́bọ ìwé àdéhùn.
00024.wav	00001-00250-99bbb30c	VER	Gbogbo owó tí wọ́n kó sálọ sí ilẹ̀ òkèèrè ni wọ́n dá padà.
00026.wav	00001-00250-99bbb30c	VER	Ìpàdé ọ̀hún máa ń wáyé ní ọjọ́ Àìkú lọ́dọọdún.
00027.wav	00001-00250-99bbb30c	VER	Olùdámọ̀ràn fún ìjọba lórí ètò ààbò sọ̀rọ̀ lórí àjálù inú àwùjọ.
00028.wav	00001-00250-99bbb30c	VER	Aláṣẹ pàsẹ láti mú àwọn adarí agbègbè lọ sí ibi ìpéjọpọ̀ kan
00029.wav	00001-00250-99bbb30c	VER	Ẹ̀mí tó sọnù ti di méjìlélógún báyìí, bi ìwà ìpànìyàn se ń tẹ̀síwájú.
00030.wav	00001-00250-99bbb30c	VER	Wọ́n fi ọ̀rọ̀ omíyalé tó ìjọba léti láti wá àtúnṣe sí i.
00031.wav	00001-00250-99bbb30c	VER	Ó wá fi àìdùnnú rẹ̀ hàn lori ọwọ́ tí àwọn ọlọ́pàá fi mú ìsẹ̀lẹ̀ náà.
00033.wav	00001-00250-99bbb30c	VER	Èèyàn márùn-ún farapa, ọ̀pọ̀lọpọ̀ dúkìá àti ilé sì jóná.
00034.wav	00001-00250-99bbb30c	VER	Wọ́n ka ìwé òfin sí etí àwọn tó bá fẹ́ dá wàhálà sílẹ̀.
00035.wav	00001-00250-99bbb30c	VER	Títí tí wọn yóò fi mú àwọn afurasí náà àárín yín ni ọ̀daràn wà.
00036.wav	00001-00250-99bbb30c	VER	Ó jẹ́ ọ̀kan lára àwọn tó wà níbi ìpàdé ọ̀hún nígbà tí a bẹ̀rẹ̀.
00037.wav	00001-00250-99bbb30c	VER	Ó wá kìlọ̀ kí wọ́n má gba ìwà ọ̀daràn láàyè ní agbègbè wọn.
00039.wav	00001-00250-99bbb30c	VER	Àwọn ọ̀daràn wá ṣe ọṣẹ́ ní agbègbè ọ̀hún ní àsálẹ́ ọjọ́ Àìkú.
00040.wav	00001-00250-99bbb30c	VER	Ìjàm̀bá iná ṣẹlẹ̀ ní ọjà Balógun nílùú Èkó.
00041.wav	00001-00250-99bbb30c	VER	Ìjàm̀bá iná ń sẹlẹ lọ́wọ́-lọ́wọ́ lọ́jà Balógun nílùú Èkó 
00042.wav	00001-00250-99bbb30c	VER	Àwọn ọlọ́jà ti pàdánù ọ̀kẹ́ àìmọye dúkìá wọn.
00043.wav	00001-00250-99bbb30c	VER	Àwọn agbébọn pa ènìyàn mẹ́tàlá nípínlẹ̀ Ọ̀ṣun
00044.wav	00001-00250-99bbb30c	VER	Wọ́n ṣe ìdájọ́ fún àwọn tó ṣe iṣẹ́ ibi náà.
00045.wav	05251-05500-PB050cdf	VER	Ààrẹ sọ pé kò sí ànfààní níbi ẹ̀san, ìkórìíra àti ìwà ìbàjẹ́
00046.wav	00001-00250-99bbb30c	VER	Ààrẹ rọ àwọn ọ̀dọ́ kí wọ́n máa gbé pẹ̀lú ìbáṣepọ̀ àlááfíà.
00048.wav	00001-00250-99bbb30c	VER	Nàìjíríà yóò fọwọ́sowọ́pọ̀ lórí ètò ẹ̀kọ́ fún Éṣíà.
00049.wav	00001-00250-99bbb30c	VER	Kí ìbáṣepọ̀ orílẹ̀ èdè méjéèjì náà tún lè fẹsẹ̀ múlẹ̀ sí i.
00050.wav	00001-00250-99bbb30c	VER	Akọ̀wé ìjọba àjọ tó ń mójútó ètò ẹ̀kọ́ sọ̀rọ̀ lórí ìbáṣepọ̀ yìí.
00051.wav	00001-00250-99bbb30c	VER	Àǹfààní ńlá ni ìfọwọ́sowọ́pọ̀ náà yóò jẹ́ fún àwọn méjèèjì.
00055.wav	00001-00250-99bbb30c	VER	Akútọ́ọ́lọ́ ló rán wọn láti béèrè ọ̀nà tí ìjọba ó fi ṣèrànwọ́ 
00056.wav	00001-00250-99bbb30c	VER	Ilé ìgbìmọ̀ aṣòfin ló ṣàgbéyẹ̀wò ètò ààbò, òfin epo rọ̀bì.
00057.wav	00001-00250-99bbb30c	VER	Ní kété tí wọ́n bá ti wọlé lọ́jọ́ Ìṣẹ́gun ni iṣẹ́ bẹ̀rè.
00058.wav	00001-00250-99bbb30c	VER	Ilé ìgbìmọ̀ aṣòfin ní láti mójútó àwọn ìpele ìjọba yòókù.
00060.wav	00001-00250-99bbb30c	VER	Ìjọba ń ṣe àtìlẹ́yìn fún àwọn tó fẹ́ ibùdó omi òkun.
00061.wav	00001-00250-99bbb30c	VER	Ìjọba àpapọ̀ yóò sàtìlẹyìn níbi iṣẹ́ ọ̀nà márosẹ̀ náà.
00063.wav	00001-00250-99bbb30c	VER	Gómìnà náà sọ pé isẹ́ àkànṣe méjì ní ìjọba ọ̀ún tí gùnlé.
00064.wav	00001-00250-99bbb30c	VER	Mo gbóríyìn fún ààrẹ Bùhárí fún ètò ìrànlọ́wọ́ rẹ̀ sí àwọn ọmọ orílẹ̀ èdè.
00065.wav	05251-05500-PB050cdf	VER	Ìjíròrò wa kìí ṣe lórí ìgbàgbọ́ tí a ní nínú ìsèjọba yìí nìkan.
00066.wav	00001-00250-99bbb30c	VER	Gómìnà Ayọ̀dé fọkàn gbogbo àwọn ọmọ ìpínlẹ̀ rẹ̀ balẹ̀ pé.
00067.wav	00001-00250-99bbb30c	VER	Ìjọba ìpínlẹ̀ náà tí pinnu láti fún àwọn ọ̀dọ́ ẹgbẹ̀rún méjì ní isẹ́.
00068.wav	00001-00250-99bbb30c	VER	Wọn yóò ṣe àfilọ́lẹ̀ àwọn ètò ìrónilágbára fún àwọn ọ̀dọ́.
00071.wav	00001-00250-99bbb30c	VER	Wọ́n tún se ìkọ̀lù sí ibi tí àwọn ikọ̀ ọlọ̀tẹ̀  ń sá pamọ́ sí.
00072.wav	05251-05500-PB050cdf	VER	Ó sọ̀rọ̀ yìí nílùú Àbújá láti sọ nípa ìkọlù orí afẹ́fẹ́ ti ikọ̀ ọmọ ogun òfurufú.
00073.wav	05251-05500-PB050cdf	VER	Ìjọba àpapọ̀ kò nilò láti yá owó nílẹ̀ òkèèrè.
00074.wav	00001-00250-99bbb30c	VER	Tí ìjọba bá lè rí owó orí, wọn ò nílò láti yá owó mọ́.
00075.wav	00001-00250-99bbb30c	VER	Ìyá àgbà sọ pé “ẹ ǹ lẹ́ níbẹ̀ yẹn”.
00077.wav	00001-00250-99bbb30c	VER	Ó wá kí alága àti ìgbìmọ̀ rẹ̀ kú orí ire fún ipò tuntun wọn.
00078.wav	00001-00250-99bbb30c	VER	Ààrẹ pàṣẹ láti kọlu jàǹdùkú, ọ̀daràn àti olè lórí afẹ́fẹ́.
00079.wav	00001-00250-99bbb30c	VER	Àárín gbùgbùn ìlú ni wọ́n fi ìpàdé àwọn ẹlẹ́gbẹ́jẹ̀gbẹ́ náà sí.
00080.wav	00001-00250-99bbb30c	VER	Ọ̀pọ̀lọpọ̀ àwọn èèyàn ti pàdánù ẹ̀mí wọn nínú ìjàm̀bá náà.
00081.wav	00001-00250-99bbb30c	VER	Ní ìbámu ìlànà yìí wọ́n pèsè ìrànwọ́ fún ikọ̀ ọmọ ogun òfurufú.
00082.wav	00001-00250-99bbb30c	VER	Ààrẹ bá wọn kẹ́dùn lórí ìkọlù àti òfò ẹ̀mí tó ṣẹlẹ̀ nípínlẹ̀ náà.
00083.wav	00001-00250-99bbb30c	VER	Ààrẹ fi dá wọn lójú pé orílẹ̀ èdè Nàíjíríà kò ní gbàgbé wọn.
